Company Name,Therapeutic Area
"Daiichi Sankyo Co., Ltd.",TROP2
"Daiichi Sankyo Co., Ltd.",HER3
"Daiichi Sankyo Co., Ltd.",B7-H3
"Daiichi Sankyo Co., Ltd.",CDH6)
"Daiichi Sankyo Co., Ltd.",Cardiovascular
"Daiichi Sankyo Co., Ltd.",Pain
"Daiichi Sankyo Co., Ltd.",Bone & Metabolism
"Daiichi Sankyo Co., Ltd.",Vaccines
"Otsuka Pharmaceutical (Otsuka Holdings Co., Ltd.)",Psychiatry & Neurology
"Otsuka Pharmaceutical (Otsuka Holdings Co., Ltd.)",Oncology
"Otsuka Pharmaceutical (Otsuka Holdings Co., Ltd.)",Cardiovascular & Renal
"Eisai Co., Ltd.",Neurology
"Eisai Co., Ltd.",Oncology
"Eisai Co., Ltd.",Tropical Diseases
"Chugai Pharmaceutical Co., Ltd.",Oncology
"Chugai Pharmaceutical Co., Ltd.",Immunology
"Chugai Pharmaceutical Co., Ltd.",Neuroscience
"Chugai Pharmaceutical Co., Ltd.",Hematology
"Chugai Pharmaceutical Co., Ltd.",Ophthalmology
UCB SA,Immunology
UCB SA,Neurology
UCB SA,Rare Diseases
Servier (Laboratoires Servier),Oncology
Servier (Laboratoires Servier),Neurology
Servier (Laboratoires Servier),Cardiometabolism
Servier (Laboratoires Servier),Venous Diseases
Recordati Industria Chimica e Farmaceutica S.p.A.,Cardiology
Recordati Industria Chimica e Farmaceutica S.p.A.,Urology
Recordati Industria Chimica e Farmaceutica S.p.A.,Gastroenterology
Recordati Industria Chimica e Farmaceutica S.p.A.,Rare Diseases
Recordati Industria Chimica e Farmaceutica S.p.A.,Endocrinology
Grifols S.A.,Immunology
Grifols S.A.,Hepatology & Intensive Care
Grifols S.A.,Pulmonology
Grifols S.A.,Hematology
Grifols S.A.,Neurology
Grifols S.A.,Infectious Diseases
Alnylam Pharmaceuticals Inc.,Genetic Medicines
Alnylam Pharmaceuticals Inc.,Cardio-Metabolic Diseases
Alnylam Pharmaceuticals Inc.,Infectious Disease
Alnylam Pharmaceuticals Inc.,CNS/Ocular Diseases
Gilead Sciences Inc.,Virology
Gilead Sciences Inc.,Oncology
Gilead Sciences Inc.,Inflammation
Incyte Corporation,Hematology
Incyte Corporation,Oncology
Incyte Corporation,Inflammation & Autoimmunity
Jazz Pharmaceuticals plc,Neuroscience
Jazz Pharmaceuticals plc,Oncology
Exelixis Inc.,Oncology
Sarepta Therapeutics Inc.,Rare Neuromuscular Diseases (Duchenne Muscular Dystrophy
Sarepta Therapeutics Inc.,Limb-Girdle Muscular Dystrophies)
BeOne Medicines Ltd. (formerly BeiGene Ltd.),Oncology (Hematology
