Company,Field,Value,Source URL
GSK plc,Website,https://www.gsk.com,https://www.gsk.com
Bayer AG,Field,Value,Source URL
Bayer AG,Revenue,46606000000,https://www.bayer.com/media/en-us/bayer-meets-adjusted-guidance-and-takes-decisive-action-to-tackle-challenges/
Bayer AG,Employees,93000,https://www.bayer.com/sites/default/files/2025-03/bayer-annual-report-2024.pdf
Bayer AG,Therapeutic Area,"Oncology, Cardiology, Ophthalmology, Women's Health, Neurology, Immunology, Cell & Gene Therapy",https://www.bayer.com/en/pharma/pharmaceuticals
Bayer AG,Key Products,"Xarelto, Eylea, Nubeqa, Kerendia, Adempas, Stivarga, Mirena, YAZ, Aspirin Cardio, Ultravist, Gadovist",https://www.bayer.com/media/en-us/bayer-meets-adjusted-guidance-and-takes-decisive-action-to-tackle-challenges/
Bayer AG,Website,https://www.bayer.com,https://www.bayer.com
Eli Lilly and Company,Revenue,45040000000,https://www.sec.gov/Archives/edgar/data/0000059478/000005947825000037/q424lillysalesandearningsp.htm
Eli Lilly and Company,Employees,47000,https://www.sec.gov/Archives/edgar/data/0000059478/000005947825000067/lly-20241231.htm
Eli Lilly and Company,Therapeutic Area,"Diabetes & Obesity, Oncology, Immunology, Neuroscience",https://www.lilly.com/our-medicines/current-treatments
Eli Lilly and Company,Key Products,"Mounjaro, Zepbound, Verzenio, Trulicity, Jardiance (alliance), Humalog, Taltz, Olumiant, Kisunla, Omvoh, Ebglyss, Jaypirca",https://www.sec.gov/Archives/edgar/data/0000059478/000005947825000037/q424lillysalesandearningsp.htm
Eli Lilly and Company,Website,https://www.lilly.com,https://www.lilly.com
Bristol Myers Squibb Company,Revenue,48300000000,https://news.bms.com/news/details/2025/Bristol-Myers-Squibb-Reports-Fourth-Quarter-and-Full-Year-Financial-Results-for-2024/default.aspx
Bristol Myers Squibb Company,Employees,34100,https://www.sec.gov/Archives/edgar/data/0000014272/000001427225000039/bmy-20241231.htm
Bristol Myers Squibb Company,Therapeutic Area,"Oncology, Hematology, Immunology, Cardiovascular, Neuroscience",https://www.bms.com/researchers-and-partners/areas-of-focus.html
Bristol Myers Squibb Company,Key Products,"Eliquis, Opdivo, Opdivo Qvantig, Revlimid, Orencia, Pomalyst/Imnovid, Yervoy, Reblozyl, Opdualag, Camzyos, Breyanzi, Abecma, Sotyktu, Cobenfy, Krazati",https://news.bms.com/news/details/2025/Bristol-Myers-Squibb-Reports-Fourth-Quarter-and-Full-Year-Financial-Results-for-2024/default.aspx
Bristol Myers Squibb Company,Website,https://www.bms.com,https://www.bms.com
Amgen Inc.,Revenue,36751000000,https://investors.amgen.com/static-files/a79e4932-280d-41ee-9ca4-25b6ea49c704
Amgen Inc.,Employees,31500,https://www.amgen.com/stories/2026/03/-/media/Themes/CorporateAffairs/amgen-com/amgen-com/downloads/investors/2025-annual-report-letter-and-10k.pdf
Amgen Inc.,Therapeutic Area,"General Medicine, Oncology, Inflammation, Rare Disease",https://www.sec.gov/Archives/edgar/data/0000318154/000031815425000005/amgn-20241231earningsrelea.htm
Amgen Inc.,Key Products,"Enbrel, Prolia, XGEVA, Repatha, Otezla, Blincyto, KYPROLIS, LUMAKRAS, TEZSPIRE, EVENITY, TEPEZZA, KRYSTEXXA, UPLIZNA, TAVNEOS, IMDELLTRA",https://www.sec.gov/Archives/edgar/data/0000318154/000031815425000005/amgn-20241231earningsrelea.htm
Amgen Inc.,Website,https://www.amgen.com,https://www.amgen.com
Takeda Pharmaceutical Company Limited,Revenue,29700000000,https://www.takeda.com/newsroom/newsreleases/2025/takeda-announces-fy2024-full-year-results-and-fy2025-outlook/
Takeda Pharmaceutical Company Limited,Employees,47455,https://www.sec.gov/Archives/edgar/data/1395064/000139506425000095/tak-20250331.htm#i89761be648564855b53fa24df8e6ee90_193
Takeda Pharmaceutical Company Limited,Therapeutic Area,"Gastroenterology & Inflammation, Rare Diseases, Plasma-Derived Therapies, Oncology, Neuroscience, Vaccines",https://www.takeda.com/newsroom/newsreleases/2025/annual-report-form-20-f-fy2024/
Takeda Pharmaceutical Company Limited,Key Products,"ENTYVIO, TAKHZYRO, LIVTENCITY, ADZYNMA, VYVANSE/ELVANSE, TRINTELLIX, ADCETRIS, ALUNBRIG, FRUZAQLA, QDENGA, GATTEX/REVESTIVE, GAMMAGARD LIQUID/KIOVIG, HYQVIA",https://www.sec.gov/Archives/edgar/data/0001395064/000139506424000086/Financial_Report.xlsx
Takeda Pharmaceutical Company Limited,Website,https://www.takeda.com,https://www.takeda.com
Boehringer Ingelheim,Revenue,28940000000,https://www.boehringer-ingelheim.com/about-us/annual-press-conference-2025
Boehringer Ingelheim,Employees,54500,https://www.boehringer-ingelheim.com/annualreport/2024/files/figures/BOE_Highlights_2024_EN.pdf
Boehringer Ingelheim,Therapeutic Area,"Cardiometabolic, Respiratory, Oncology, Immunology & Inflammation, Mental Health",https://www.boehringer-ingelheim.com/ca/first-half-2024-boehringer-ingelheim-progresses-pipeline-pace-and-reaches-major-milestones
Boehringer Ingelheim,Key Products,"Jardiance, Ofev, Trajenta/Jentadueto, Spiriva, Pradaxa, NexGard, Frontline, Frontpro, Vetmedin",https://www.boehringer-ingelheim.com/about-us/annual-press-conference-2025
Boehringer Ingelheim,Website,https://www.boehringer-ingelheim.com,https://www.boehringer-ingelheim.com
Novo Nordisk A/S,Revenue,46800000000,https://annualreport.novonordisk.com/2025/_assets/downloads/novo-nordisk-annual-report-2025.pdf?h=9UdfHgQ-
Novo Nordisk A/S,Employees,76300,https://www.novonordisk.com/news-and-media/news-and-ir-materials/news-details.html?id=915257
Novo Nordisk A/S,Therapeutic Area,"Diabetes Care, Obesity Care, Rare Diseases (Rare Blood Disorders, Rare Endocrine Disorders)",https://www.sec.gov/Archives/edgar/data/0000353278/000162828025003924/caq42024.htm
Novo Nordisk A/S,Key Products,"Ozempic, Wegovy, Rybelsus, Saxenda, Victoza, Tresiba, Levemir, NovoRapid, Fiasp, NovoSeven, NovoEight, Norditropin, Esperoct",https://www.sec.gov/Archives/edgar/data/0000353278/000162828025003924/caq42024.htm
Novo Nordisk A/S,Website,https://www.novonordisk.com,https://www.novonordisk.com
"Regeneron Pharmaceuticals, Inc.",Revenue,14300000000,https://investor.regeneron.com/news-releases/news-release-details/regeneron-reports-fourth-quarter-and-full-year-2025-financial
"Regeneron Pharmaceuticals, Inc.",Employees,15106,https://www.sec.gov/Archives/edgar/data/0000872589/000180422025000011/regn-20241231.htm
"Regeneron Pharmaceuticals, Inc.",Therapeutic Area,"Ophthalmology, Immunology & Inflammation, Oncology, Cardiovascular & Metabolic, Neuroscience, Hematology, Infectious Diseases, Rare Diseases",https://www.sec.gov/Archives/edgar/data/0000872589/000180422025000011/regn-20241231.htm
"Regeneron Pharmaceuticals, Inc.",Key Products,"Dupixent, EYLEA HD, EYLEA, Libtayo, Praluent, Kevzara, Inmazeb",https://www.sec.gov/Archives/edgar/data/0000872589/000180422025000006/exhibit991q42024.htm
"Regeneron Pharmaceuticals, Inc.",Website,https://www.regeneron.com,https://www.regeneron.com
Biogen Inc.,Revenue,9675900000,https://www.sec.gov/Archives/edgar/data/0000875045/000087504525000004/exhibit991-q42024pressrele.htm
Biogen Inc.,Employees,7400,https://www.sec.gov/Archives/edgar/data/0000875045/000087504525000009/biib-20241231.htm
Biogen Inc.,Therapeutic Area,"Neuroscience (Multiple Sclerosis, Alzheimer's Disease, ALS), Rare Diseases, Immunology",https://www.sec.gov/Archives/edgar/data/0000875045/000087504525000009/biib-20241231.htm
Biogen Inc.,Key Products,"TECFIDERA, TYSABRI, VUMERITY, AVONEX, PLEGRIDY, SPINRAZA, LEQEMBI, SKYCLARYS, ZURZUVAE, QALSODY, BENEPALI, IMRALDI, BYOOVIZ",https://www.sec.gov/Archives/edgar/data/0000875045/000087504525000004/exhibit991-q42024pressrele.htm
Biogen Inc.,Website,https://www.biogen.com,https://www.biogen.com
Vertex Pharmaceuticals Incorporated,Revenue,11021000000,https://www.sec.gov/Archives/edgar/data/0000875320/000087532025000041/ex-991_q42024.htm
Vertex Pharmaceuticals Incorporated,Employees,17900,https://www.sec.gov/Archives/edgar/data/0000875320/000087532025000053/vrtx-20241231.htm
Vertex Pharmaceuticals Incorporated,Therapeutic Area,"Cystic Fibrosis, Pain (Acute & Neuropathic), Hematology (SCD, Beta-Thalassemia), Kidney Disease (IgAN, AMKD), Type 1 Diabetes",https://www.sec.gov/Archives/edgar/data/0000875320/000087532025000053/vrtx-20241231.htm
Vertex Pharmaceuticals Incorporated,Key Products,"TRIKAFTA/KAFTRIO, SYMDEKO/SYMKEVI, ORKAMBI, KALYDECO, ALYFTREK, CASGEVY, JOURNAVX",https://www.sec.gov/Archives/edgar/data/0000875320/000087532025000041/ex-991_q42024.htm
Vertex Pharmaceuticals Incorporated,Website,https://www.vrtx.com,https://www.vrtx.com
